,Name,Album,Artist,Release_Date,Length,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Tom's Diner,Tom's Diner,AnnenMayKantereit,2019-06-28,269333,88,0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222
1,Evil Woman,Flashback,Electric Light Orchestra,1972-01-01,259826,0,0.703,0.58,9,-8.611,0,0.0282,0.461,2.74e-05,0.518,0.896,119.855
2,Hooked On A Feeling,Hooked On A Feeling - 40th Anniversary Collection,Blue Swede,2014-09-30,172866,67,0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208
3,Vossi Bop,Vossi Bop,Stormzy,2019-04-26,196266,70,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115
4,Cudi Zone,Man On The Moon: The End Of Day (Int'l Version),Kid Cudi,2009-01-01,259040,58,0.706,0.7,9,-5.959,0,0.0337,0.57,1.27e-06,0.249,0.634,134.751
5,Come On Eileen - Single Edit,Come On Eileen / Dubious,Dexys Midnight Runners,2009-01-01,205933,71,0.41,0.874,0,-4.286,1,0.0907,0.197,0.0,0.0843,0.824,107.08
6,Call from NY,Call from NY,Screen Jazzmaster,2022-01-07,119370,51,0.746,0.545,9,-7.519,1,0.0422,0.216,0.652,0.404,0.525,81.002
7,Gimme! Gimme! Gimme! (A Man After Midnight),Voulez-Vous,ABBA,1979-01-01,292613,83,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528
8,soda stream sky (feat. KNOWN.),soda stream sky (feat. KNOWN.),Powfu,2021-09-03,224825,42,0.609,0.394,0,-10.142,1,0.209,0.757,0.00034,0.127,0.191,172.031
9,Honeypie,For Abby,JAWNY,2020-10-27,135581,79,0.74,0.688,5,-4.361,0,0.0916,0.061,0.0,0.138,0.935,115.035
10,Can I Get It,30,Adele,2021-11-19,210384,83,0.703,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985
11,Mood Swings,Mood Swings,New Dialogue,2021-09-10,183157,43,0.476,0.704,8,-5.755,0,0.123,0.326,0.0,0.266,0.454,110.069
12,Change,Who Am I?,Pale Waves,2021-02-12,172280,54,0.598,0.906,7,-3.435,1,0.0447,0.00931,3.95e-05,0.16,0.525,97.007
13,First Time,Fallen Embers,ILLENIUM,2021-07-16,165779,68,0.526,0.667,9,-5.451,1,0.0437,0.0505,0.0,0.321,0.43,155.085
14,buzz cut (feat. MisterWives),buzz cut (feat. MisterWives),lovelytheband,2021-01-15,218775,64,0.636,0.845,11,-6.432,1,0.0504,0.0342,1.8e-06,0.174,0.866,146.956
15,Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,2009-01-01,202066,84,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021
16,Dumb Love,Dumb Love,Mimi Webb,2021-06-11,207068,73,0.569,0.422,0,-5.856,1,0.0302,0.0296,0.0,0.0613,0.175,76.96
17,Kilby Girl,When We Were Friends,The Backseat Lovers,2019-01-27,282205,83,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279
18,Shit Show,Shit Show,Peter McPoland,2021-09-03,200080,68,0.55,0.699,1,-3.635,1,0.17,0.435,0.0,0.197,0.697,169.955
19,Bad Day,Bad Day,Justus Bennetts,2021-09-07,108800,76,0.883,0.713,9,-4.684,1,0.307,0.0125,0.0,0.45,0.855,89.025
