,name,album,artist,release_date,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Dapper (feat. Anderson .Paak),Genesis,Domo Genesis,2016-03-25,193093,64,0.753,0.594,1,-9.486,0,0.0816,0.0711,0.0,0.391,0.562,112.568
1,Switch - DEVAULT Remix,Switch (DEVAULT Remix),6LACK,2018-11-16,229481,55,0.347,0.836,9,-6.144,0,0.363,0.0253,5.7e-05,0.305,0.137,86.397
2,Second Nature,Second Nature,Stalking Gia,2016-06-24,246609,42,0.865,0.548,10,-7.379,0,0.192,0.652,0.0161,0.113,0.887,109.989
3,Let Go,Ryan Adams,Ryan Adams,2014-09-09,223786,20,0.691,0.446,5,-6.924,1,0.026,0.254,0.000333,0.0726,0.355,138.027
4,She's Casual,100,The Hunna,2016-08-26,183760,56,0.435,0.591,2,-6.973,1,0.057,0.0132,0.0,0.101,0.0941,129.93
5,Bad Habit,Bad Habit,The Kooks,2014-01-01,221413,0,0.731,0.886,0,-4.206,0,0.0385,0.0528,2.18e-05,0.136,0.849,123.062
6,Nail Tech,Nail Tech,Jack Harlow,2022-02-18,206385,87,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149
7,B-Side,B-Side,Khruangbin,2021-12-08,274391,70,0.73,0.735,7,-10.572,1,0.0548,0.0768,0.164,0.338,0.693,104.77
8,THE REV3NGE,THE REV3NGE,Joey Bada$$,2022-01-14,147213,75,0.665,0.846,8,-3.874,1,0.0686,0.0205,0.0,0.157,0.44,130.946
9,Rose Pink Cadillac,Rose Pink Cadillac,DOPE LEMON,2021-05-28,261911,67,0.746,0.804,1,-6.824,1,0.0338,0.315,0.00669,0.104,0.89,100.0
10,"What, Me Worry?","What, Me Worry?",Portugal. The Man,2022-02-09,177397,68,0.722,0.889,3,-2.564,0,0.0416,0.0682,4.77e-06,0.124,0.743,139.965
11,Slide Tackle,Jubilee,Japanese Breakfast,2021-06-04,219782,57,0.746,0.603,5,-6.516,1,0.0297,0.0178,0.0139,0.0573,0.874,127.989
12,What You Won't Do for Love,What You Won't Do for Love,Bobby Caldwell,1991-10-10,286493,72,0.642,0.396,6,-16.843,1,0.0642,0.462,0.000823,0.106,0.797,84.082
13,Green Heart,Undertones,Glimlip,2021-05-21,190426,54,0.719,0.36,11,-14.169,0,0.129,0.813,0.911,0.109,0.49,82.033
14,Be Kind (with Halsey),Be Kind (with Halsey),Marshmello,2020-05-01,172761,81,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.995
15,Steam,Gold-Diggers Sound,Leon Bridges,2021-07-23,203091,64,0.849,0.616,5,-7.549,0,0.0486,0.0547,0.394,0.166,0.727,110.026
16,Close To You,Harmony House,Dayglow,2021-05-21,194693,76,0.875,0.649,6,-5.754,1,0.0433,0.429,0.00237,0.0704,0.833,140.031
17,Shiki No Uta,Shiki No Uta,Moovy B,2019-05-20,168497,43,0.775,0.468,10,-7.077,0,0.0345,0.186,0.925,0.1,0.831,92.983
18,四季ノ唄,アイの実,MINMI,2004-03-31,298000,56,0.541,0.611,10,-8.747,0,0.042,0.134,0.0103,0.115,0.682,92.481
19,Relay,Relay,Glimlip,2021-10-29,166280,54,0.611,0.356,11,-15.433,0,0.0675,0.181,0.897,0.169,0.19,82.001
20,How Dare You Want More,How Dare You Want More,Bleachers,2021-06-09,240200,50,0.527,0.746,2,-7.717,1,0.0536,0.0379,5.8e-05,0.0628,0.445,166.919
21,Rollercoaster,Strange Desire,Bleachers,2014-07-14,188866,68,0.421,0.79,10,-6.227,1,0.0538,0.00205,0.000309,0.148,0.279,162.024
22,Hold Tight - FloFilz Remix,Hold Tight (Remixed),Gianni Brezzo,2021-10-08,116750,37,0.621,0.481,0,-7.967,1,0.0592,0.161,0.54,0.0889,0.963,172.082
23,Hold Tight,The Awakening,Gianni Brezzo,2021-03-12,210500,10,0.576,0.45,9,-9.844,0,0.0316,0.356,0.000335,0.138,0.27,79.014
24,Banksy,Chillhop Essentials Winter 2021,Chillhop Music,2021-12-01,177303,47,0.653,0.12,11,-10.345,0,0.042,0.641,0.793,0.112,0.323,88.116
25,Love Tonight - Edit,Love Tonight,Shouse,2017-12-14,241970,85,0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028
26,Strawberry Huracan,Strawberry Huracan,MASN,2021-09-24,177026,61,0.62,0.709,2,-5.081,1,0.0384,0.295,0.0,0.22,0.566,138.98
27,Talk Too Much,How Will You Know If You Never Try,COIN,2017-04-21,187133,76,0.598,0.888,4,-5.119,1,0.0807,0.00947,0.0,0.347,0.482,103.966
28,Chapstick,Chapstick,COIN,2021-10-08,193299,67,0.806,0.636,2,-6.281,1,0.042,0.00515,0.00053,0.109,0.783,115.03
29,Me Rehúso,Me Rehúso,Danny Ocean,2016-09-16,205741,0,0.746,0.794,1,-6.331,1,0.0698,0.0258,0.0,0.0497,0.447,104.827
30,SUNDOWN,Loose,Jack Harlow,2018-08-17,125217,66,0.816,0.754,2,-5.922,1,0.152,0.163,0.00199,0.105,0.704,92.023
31,Dark Knight,Gazebo,Jack Harlow,2017-11-17,135746,57,0.9,0.432,0,-8.249,1,0.091,0.0501,1.23e-06,0.111,0.155,135.047
32,BACKROOM,BACKROOM,Mike Dimes,2021-11-30,155744,67,0.814,0.666,10,-4.131,0,0.264,0.241,0.0,0.532,0.735,141.08
33,Free,Untitled (Rise),SAULT,2020-09-18,305829,67,0.746,0.759,7,-3.078,1,0.042,0.0979,0.0139,0.598,0.623,112.31
34,Wildfires,Untitled (Black Is),SAULT,2020-06-19,206947,72,0.862,0.314,3,-8.269,0,0.0369,0.108,0.156,0.0878,0.502,114.472
35,Rising With It,Rising With It,Otis Junior,2020-10-23,192750,21,0.53,0.753,10,-6.193,0,0.427,0.628,0.0,0.247,0.424,83.34
36,3 Winds,Hemispheres,Otis Junior,2017-03-17,168000,39,0.683,0.725,4,-6.581,1,0.0389,0.181,0.185,0.101,0.752,140.093
37,Blue,Blue,The Jesse Lees,2020-01-31,261616,10,0.479,0.899,11,-6.808,1,0.0733,0.0032,9.87e-06,0.139,0.462,169.855
38,Essence (feat. Justin Bieber & Tems),Made In Lagos: Deluxe Edition,WizKid,2021-08-27,263293,68,0.836,0.69,0,-5.816,1,0.123,0.0142,1.22e-05,0.112,0.586,104.004
39,Mood (feat. Buju),Made In Lagos: Deluxe Edition,WizKid,2021-08-27,209760,71,0.897,0.7,1,-2.776,0,0.117,0.0193,0.009,0.12,0.755,101.944
40,Dancing in the Moonlight,Dancing in the Moonlight,King Harvest,1973-01-01,181133,73,0.657,0.435,10,-15.707,1,0.0552,0.739,0.0,0.167,0.771,135.975
41,Come Back (Light Therapy),1972,Josh Rouse,2003-01-01,278173,39,0.825,0.558,10,-9.956,0,0.0298,0.0791,0.000305,0.0986,0.976,117.416
42,"Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]","Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]",Skrillex,2021-06-10,167253,70,0.487,0.669,9,-6.473,1,0.232,0.0145,0.00349,0.102,0.0573,172.026
43,After Last Night (with Thundercat & Bootsy Collins),An Evening With Silk Sonic,Bruno Mars,2021-11-12,249444,74,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051
44,I Don't Live Here Anymore (feat. Lucius),I Don’t Live Here Anymore,The War On Drugs,2021-10-29,327546,65,0.476,0.867,5,-3.982,1,0.037,0.00327,3.42e-06,0.0962,0.466,110.026
45,Valentine,Valentine,Snail Mail,2021-11-05,196173,61,0.488,0.623,0,-4.873,1,0.0317,0.000713,0.0,0.131,0.171,129.874
46,Return To Innocence,The Cross Of Changes,Enigma,1993-01-01,255466,68,0.476,0.584,10,-12.357,1,0.038,0.119,0.0,0.274,0.417,88.026
47,Sleeping In,"Wake Up, Sunshine",All Time Low,2020-04-03,180599,52,0.656,0.955,7,-3.842,1,0.0462,0.00865,0.0,0.342,0.558,105.031
48,WISS,WISS,Mike Dimes,2021-10-15,159130,62,0.695,0.75,2,-5.96,1,0.149,0.0234,0.0,0.103,0.26,115.045
49,Bubblin,Bubblin,Anderson .Paak,2018-05-17,209093,63,0.568,0.873,1,-5.22,1,0.265,0.0731,0.0,0.367,0.547,106.783
50,Lockdown,Lockdown,Anderson .Paak,2020-06-19,212613,61,0.928,0.437,1,-7.081,0,0.127,0.144,0.000357,0.147,0.496,100.056
51,Money (with Tom Misch),Money,Michael Kiwanuka,2019-06-18,291568,59,0.774,0.419,4,-9.649,0,0.0758,0.539,0.0698,0.029,0.644,118.008
52,Free Spirit,Free Spirit,Clear Mortifee,2021-09-10,166588,15,0.403,0.508,2,-7.025,0,0.114,0.677,3.44e-06,0.111,0.271,80.171
53,All Night Long (All Night) - Single Version,The Definitive Collection,Lionel Richie,2003-01-01,260426,62,0.739,0.576,1,-12.024,1,0.0472,0.122,0.00206,0.0482,0.78,108.81
54,Hold On,Drastic Fantastic,KT Tunstall,2007-01-01,177613,43,0.664,0.936,4,-5.158,0,0.094,0.322,1.04e-06,0.19,0.803,105.569
55,TROJAN HORSE,TROJAN HORSE,SEBASTIAN PAUL,2018-07-20,266393,72,0.651,0.726,8,-7.583,1,0.312,0.576,0.0152,0.272,0.657,89.305
56,Context,Context,On Planets,2020-10-16,240000,46,0.556,0.411,7,-12.756,1,0.323,0.235,0.0,0.364,0.336,75.888
57,Cómo Quieres Que Te Quiera,Muchas Flores,Rosario,2001-09-20,267720,62,0.761,0.711,4,-7.398,0,0.0744,0.343,0.0,0.0723,0.657,126.006
58,Air Power (feat. The Kount),Air Power (feat. The Kount),Midas Hutch,2021-02-17,219961,36,0.828,0.503,6,-8.358,1,0.0865,0.0609,0.879,0.0742,0.589,124.008
59,Savior,Savior,IAMNOBODI,2019-07-26,187868,49,0.659,0.617,1,-8.016,1,0.214,0.0356,0.283,0.0793,0.341,121.879
60,You and Me,Rising With It,Otis Junior,2020-10-23,236000,39,0.489,0.726,5,-6.204,1,0.345,0.2,6.5e-05,0.349,0.672,190.297
61,Bright Lights,The Bright Lights EP,Gary Clark Jr.,2011-08-08,324786,34,0.515,0.752,9,-1.853,0,0.0336,0.00207,2.5e-06,0.129,0.503,83.541
62,Number One Fan,Saves The World,MUNA,2019-09-06,205880,62,0.746,0.56,9,-4.898,1,0.0354,0.00656,0.000717,0.361,0.511,124.013
63,Motivation - Recorded at Electric Lady Studios NYC,Spotify Singles,MUNA,2019-11-13,206079,62,0.636,0.456,2,-8.787,1,0.0381,0.00406,0.000826,0.173,0.646,124.005
64,Bodies,Bodies,The Knocks,2020-07-31,209293,66,0.584,0.599,11,-4.243,1,0.0342,0.032,0.0,0.0481,0.634,112.048
65,Steal My Sunshine (feat. Cherry Glazerr),Steal My Sunshine / Novocaine For The Soul,Portugal. The Man,2021-09-24,240002,51,0.562,0.846,4,-5.552,1,0.0346,0.0584,0.000313,0.187,0.454,95.015
66,Silk Chiffon,Silk Chiffon,MUNA,2021-09-07,206586,72,0.622,0.736,8,-6.219,1,0.0444,0.0156,0.0,0.112,0.432,97.006
67,Kiwi,Harry Styles,Harry Styles,2017-05-12,176386,80,0.375,0.93,2,-2.631,1,0.0561,0.00064,0.0,0.318,0.491,147.124
68,Saturday,Saturday,The Jesse Lees,2019-12-07,210906,14,0.341,0.473,7,-10.418,0,0.0365,0.0189,0.0,0.159,0.121,137.309
69,Me vs. Me,1Moment2Another,Otis Junior,2016-04-22,247619,45,0.799,0.778,1,-7.852,0,0.105,0.693,0.0101,0.118,0.806,125.996
70,See You Space Cowboy...,Bobby Tarantino III,Logic,2021-07-30,240228,60,0.507,0.817,10,-5.264,0,0.276,0.0172,1.39e-06,0.108,0.522,93.994
71,Breeze,Trouvaille,Freddie Joachim,2017-01-01,156786,52,0.825,0.472,1,-7.146,1,0.069,0.0137,0.834,0.0992,0.831,92.013
72,DFTF,Yancey Boys,Illa J,2008-11-11,265534,46,0.821,0.668,9,-5.573,1,0.311,0.207,0.0,0.112,0.436,94.406
73,Run It (feat. Rick Ross & Rich Brian),Shang-Chi and The Legend of The Ten Rings: The Album,88rising,2021-09-03,163373,72,0.688,0.725,2,-7.806,1,0.044,0.0195,7.63e-06,0.0726,0.225,104.006
74,Fire In The Sky,Shang-Chi and The Legend of The Ten Rings: The Album,88rising,2021-09-03,201786,71,0.668,0.856,1,-6.386,0,0.0453,0.0837,0.0446,0.096,0.737,79.008
75,Pinata,Tennessee Daydreams,Mike Floss,2017-09-15,217213,40,0.766,0.522,0,-6.713,1,0.299,0.424,0.0,0.459,0.373,120.011
76,Follow The Light,Turbo,Cory Wong,2021-09-03,244285,53,0.722,0.824,7,-8.506,1,0.0636,0.068,0.00146,0.0513,0.727,111.991
77,Thriller,Turbo,Cory Wong,2021-09-03,290381,50,0.709,0.744,1,-7.864,0,0.041,0.048,0.0142,0.035,0.578,98.315
78,The Motto,Take Care (Deluxe),Drake,2011-11-15,181573,77,0.766,0.442,1,-8.558,1,0.356,0.000107,6.12e-05,0.111,0.39,201.8
79,Miami,Miami,Parrotfish,2018-10-05,274468,45,0.477,0.487,4,-9.788,0,0.285,0.129,5.36e-06,0.129,0.61,82.164
80,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,2019-08-09,199427,72,0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985
81,Hypersonic Missiles,Hypersonic Missiles,Sam Fender,2019-09-13,237986,72,0.551,0.814,4,-3.683,1,0.0425,0.00089,1.16e-06,0.18,0.469,130.971
82,SICKO MODE - Skrillex Remix,SICKO MODE (Skrillex Remix),Travis Scott,2018-11-28,304512,63,0.651,0.833,1,-3.356,1,0.172,0.0214,0.0,0.14,0.443,155.051
83,Don’t Go (with Justin Bieber & Don Toliver),Don’t Go (with Justin Bieber & Don Toliver),Skrillex,2021-08-20,168253,75,0.689,0.695,11,-5.22,1,0.0429,0.019,0.0,0.123,0.359,75.05
84,Bamboo Lounge (Poppin),Bamboo Lounge (Poppin),Curtis Roach,2020-09-10,168914,17,0.73,0.842,1,-2.721,0,0.0499,0.052,0.0,0.169,0.456,82.496
85,my ex's best friend (with blackbear),Tickets To My Downfall,Machine Gun Kelly,2020-09-25,139460,84,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939
86,edamame (feat. Rich Brian),edamame (feat. Rich Brian),bbno$,2021-07-24,133706,85,0.815,0.848,4,-4.704,0,0.115,0.023,0.000162,0.0265,0.684,106.032
87,Teenage Fantasy (feat. Gibbz),Teenage Fantasy - EP,Cherokee,2015-02-23,304507,0,0.769,0.577,11,-8.672,1,0.19,0.58,0.00336,0.125,0.322,119.813
88,Hot Skin - Radio Edit,Hot Skin (Radio Edit),Sam Feldt,2014-11-17,209385,46,0.771,0.616,7,-7.702,1,0.0395,0.00872,0.0012,0.076,0.499,120.008
89,The Feeling,Mr. Corman: Season 1 (Apple TV+ Original Series Soundtrack),Nathan Johnson,2021-08-06,325052,42,0.726,0.769,0,-7.119,1,0.0354,0.0127,0.0606,0.0939,0.683,129.987
90,Bay City Pursuit,Bay City Pursuit,Sirus Hood,2013-08-14,379354,3,0.934,0.827,11,-5.791,0,0.184,0.00727,0.33,0.0695,0.715,123.98
91,Restless,Knee Deep In Sound (Deluxe Version),Hot Since 82,2014-11-17,440079,0,0.776,0.869,8,-8.072,1,0.0386,0.00284,0.73,0.346,0.364,123.984
92,First Light,First Light,Dustin Tebbutt,2016-05-24,265268,34,0.651,0.595,0,-9.373,1,0.0276,0.357,0.0129,0.0737,0.414,124.972
